date,cumulative_ios_downloads_canada,cumulative_android_downloads_canada,cumulative_total_downloads_canada,daily_ios_downloads_canada,daily_android_downloads_canada,daily_total_downloads_canada
2020-07-30,189,"1,909","2,098",189,"1,909","2,098"
2020-07-31,"326,519","262,575","589,094","326,330","260,666","586,996"
2020-08-01,"630,961","386,470","1,017,431","304,442","123,895","428,337"
2020-08-02,"759,283","436,716","1,195,999","128,322","50,246","178,568"
2020-08-03,"835,095","483,562","1,318,657","75,812","46,846","122,658"
2020-08-04,"915,198","533,321","1,448,519","80,103","49,759","129,862"
2020-08-05,"991,188","566,183","1,557,371","75,990","32,862","108,852"
2020-08-06,"1,050,450","606,189","1,656,639","59,262","40,006","99,268"
2020-08-07,"1,083,421","623,766","1,707,187","32,971","17,577","50,548"
2020-08-08,"1,111,438","641,699","1,753,137","28,017","17,933","45,950"
2020-08-09,"1,134,273","656,261","1,790,534","22,835","14,562","37,397"
2020-08-10,"1,157,652","670,518","1,828,170","23,379","14,257","37,636"
2020-08-11,"1,180,279","685,600","1,865,879","22,627","15,082","37,709"
2020-08-12,"1,202,590","700,276","1,902,866","22,311","14,676","36,987"
2020-08-13,"1,228,471","717,199","1,945,670","25,881","16,923","42,804"
2020-08-14,"1,253,134","731,277","1,984,411","24,663","14,078","38,741"
2020-08-15,"1,269,716","740,355","2,010,071","16,582","9,078","25,660"
2020-08-16,"1,284,816","749,159","2,033,975","15,100","8,804","23,904"
2020-08-17,"1,298,271","756,616","2,054,887","13,455","7,457","20,912"
2020-08-18,"1,310,215","764,226","2,074,441","11,944","7,610","19,554"
2020-08-19,"1,321,066","770,826","2,091,892","10,851","6,600","17,451"
2020-08-20,"1,331,006","776,422","2,107,428","9,940","5,596","15,536"
2020-08-21,"1,339,418","781,161","2,120,579","8,412","4,739","13,151"
2020-08-22,"1,347,107","785,278","2,132,385","7,689","4,117","11,806"
2020-08-23,"1,353,791","789,191","2,142,982","6,684","3,913","10,597"
2020-08-24,"1,361,236","794,167","2,155,403","7,445","4,976","12,421"
2020-08-25,"1,371,556","801,673","2,173,229","10,320","7,506","17,826"
2020-08-26,"1,381,193","806,912","2,188,105","9,637","5,239","14,876"
2020-08-27,"1,388,372","811,232","2,199,604","7,179","4,320","11,499"
2020-08-28,"1,394,679","814,634","2,209,313","6,307","3,402","9,709"
2020-08-29,"1,401,235","818,470","2,219,705","6,556","3,836","10,392"
2020-08-30,"1,407,591","821,831","2,229,422","6,356","3,361","9,717"
2020-08-31,"1,413,532","824,906","2,238,438","5,941","3,075","9,016"
2020-09-01,"1,421,039","829,276","2,250,315","7,507","4,370","11,877"
2020-09-02,"1,429,892","834,504","2,264,396","8,853","5,228","14,081"
2020-09-03,"1,448,553","844,382","2,292,935","18,661","9,878","28,539"
2020-09-04,"1,459,526","850,592","2,310,118","10,973","6,210","17,183"
2020-09-05,"1,469,674","854,907","2,324,581","10,148","4,315","14,463"
2020-09-06,"1,477,336","858,924","2,336,260","7,662","4,017","11,679"
2020-09-07,"1,485,484","863,122","2,348,606","8,148","4,198","12,346"
2020-09-08,"1,494,902","867,944","2,362,846","9,418","4,822","14,240"
2020-09-09,"1,502,591","871,414","2,374,005","7,689","3,470","11,159"
2020-09-10,"1,509,573","874,736","2,384,309","6,982","3,322","10,304"
2020-09-11,"1,517,269","889,467","2,406,736","7,696","14,731","22,427"
2020-09-12,"1,523,394","911,260","2,434,654","6,125","21,793","27,918"
2020-09-13,"1,529,736","930,820","2,460,556","6,342","19,560","25,902"
2020-09-14,"1,539,182","948,976","2,488,158","9,446","18,156","27,602"
2020-09-15,"1,547,403","963,747","2,511,150","8,221","14,771","22,992"
2020-09-16,"1,559,161","990,506","2,549,667","11,758","26,759","38,517"
2020-09-17,"1,575,066","1,003,492","2,578,558","15,905","12,986","28,891"
2020-09-18,"1,608,567","1,020,778","2,629,345","33,501","17,286","50,787"
2020-09-19,"1,637,106","1,029,853","2,666,959","28,539","9,075","37,614"
2020-09-20,"1,654,838","1,035,141","2,689,979","17,732","5,288","23,020"
2020-09-21,"1,671,686","1,041,345","2,713,031","16,848","6,204","23,052"
2020-09-22,"1,688,083","1,056,357","2,744,440","16,397","15,012","31,409"
2020-09-23,"1,731,411","1,090,556","2,821,967","43,328","34,199","77,527"
2020-09-24,"1,775,548","1,108,063","2,883,611","44,137","17,507","61,644"
2020-09-25,"1,795,472","1,117,061","2,912,533","19,924","8,998","28,922"
2020-09-26,"1,808,291","1,122,861","2,931,152","12,819","5,800","18,619"
2020-09-27,"1,819,561","1,128,304","2,947,865","11,270","5,443","16,713"
2020-09-28,"1,852,439","1,146,044","2,998,483","32,878","17,740","50,618"
2020-09-29,"1,893,212","1,168,859","3,062,071","40,773","22,815","63,588"
2020-09-30,"1,930,941","1,185,311","3,116,252","37,729","16,452","54,181"
2020-10-01,"1,977,105","1,211,682","3,188,787","46,164","26,371","72,535"
2020-10-02,"2,019,890","1,233,954","3,253,844","42,785","22,272","65,057"
2020-10-03,"2,039,590","1,245,634","3,285,224","19,700","11,680","31,380"
2020-10-04,"2,054,285","1,255,849","3,310,134","14,695","10,215","24,910"
2020-10-05,"2,208,542","1,408,032","3,616,574","154,257","152,183","306,440"
2020-10-06,"2,390,189","1,513,655","3,903,844","181,647","105,623","287,270"
2020-10-07,"2,476,816","1,570,983","4,047,799","86,627","57,328","143,955"
2020-10-08,"2,523,900","1,611,617","4,135,517","47,084","40,634","87,718"
2020-10-09,"2,574,734","1,651,124","4,225,858","50,834","39,507","90,341"
2020-10-10,"2,601,893","1,671,297","4,273,190","27,159","20,173","47,332"
2020-10-11,"2,621,248","1,694,510","4,315,758","19,355","23,213","42,568"
2020-10-12,"2,640,669","1,740,311","4,380,980","19,421","45,801","65,222"
2020-10-13,"2,666,147","1,781,389","4,447,536","25,478","41,078","66,556"
2020-10-14,"2,685,717","1,810,143","4,495,860","19,570","28,754","48,324"
2020-10-15,"2,714,974","1,846,850","4,561,824","29,257","36,707","65,964"
2020-10-16,"2,737,390","1,874,503","4,611,893","22,416","27,653","50,069"
2020-10-17,"2,750,871","1,895,177","4,646,048","13,481","20,674","34,155"
2020-10-18,"2,761,576","1,912,776","4,674,352","10,705","17,599","28,304"
2020-10-19,"2,786,664","1,937,403","4,724,067","25,088","24,627","49,715"
2020-10-20,"2,802,983","1,956,036","4,759,019","16,319","18,633","34,952"
2020-10-21,"2,814,578","1,970,357","4,784,935","11,595","14,321","25,916"
2020-10-22,"2,823,104","1,983,674","4,806,778","8,526","13,317","21,843"
2020-10-23,"2,831,701","1,995,366","4,827,067","8,597","11,692","20,289"
2020-10-24,"2,839,840","2,006,447","4,846,287","8,139","11,081","19,220"
2020-10-25,"2,846,891","2,016,705","4,863,596","7,051","10,258","17,309"
2020-10-26,"2,855,102","2,029,497","4,884,599","8,211","12,792","21,003"
